Connected to: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN62097261,02.12.2021071625
Number of samples: 19
[MJD: 60677.85276] Averaged frequency: 1.773632 MHz, period: 5.63814949998516342875E-07
Elapsed time: 950.90 ms

measurements counter=5.63647690527752221947E-07,gate=954.76 60677.85382
measurements counter=5.63781490163496617311E-07,gate=947.63 60677.85383
measurements counter=5.63814949998516342875E-07,gate=964.11 60677.85384
measurements counter=5.63781490163496617311E-07,gate=948.45 60677.85385
measurements counter=5.63748034299617223194E-07,gate=1030.98 60677.85387
measurements counter=5.63714582406171205651E-07,gate=997.92 60677.85388
measurements counter=5.63814949998516342875E-07,gate=947.87 60677.85389
measurements counter=5.63681134482451715688E-07,gate=964.17 60677.85390
measurements counter=5.63681134482451715688E-07,gate=948.19 60677.85391
measurements counter=5.63748034299617223194E-07,gate=948.07 60677.85392
measurements counter=5.63881881584804925479E-07,gate=957.82 60677.85393
measurements counter=5.63714582406171205651E-07,gate=954.37 60677.85394
measurements counter=5.63748034299617223194E-07,gate=948.04 60677.85395
measurements counter=5.63681134482451715688E-07,gate=1031.76 60677.85397
measurements counter=5.63748034299617223194E-07,gate=973.65 60677.85398
measurements counter=5.63781490163496617311E-07,gate=937.64 60677.85399
measurements counter=5.63647690527752221947E-07,gate=948.55 60677.85400
measurements counter=5.63781490163496617311E-07,gate=947.66 60677.85401
measurements counter=5.63748034299617223194E-07,gate=957.72 60677.85402
measurements counter=5.63714582406171205651E-07,gate=954.79 60677.85403
measurements counter=5.63781490163496617311E-07,gate=948.53 60677.85404
measurements counter=5.63781490163496617311E-07,gate=1059.28 60677.85406
measurements counter=5.63681134482451715688E-07,gate=1052.07 60677.85407
measurements counter=5.63848413805383248882E-07,gate=948.57 60677.85408
measurements counter=5.63781490163496617311E-07,gate=947.47 60677.85409
measurements counter=5.63714582406171205651E-07,gate=981.06 60677.85410
measurements counter=5.63748034299617223194E-07,gate=963.96 60677.85411
measurements counter=5.63714582406171205651E-07,gate=948.47 60677.85412
measurements counter=5.63714582406171205651E-07,gate=947.85 60677.85413
measurements counter=5.63714582406171205651E-07,gate=947.87 60677.85415
measurements counter=5.63681134482451715688E-07,gate=964.07 60677.85416
measurements counter=5.63714582406171205651E-07,gate=949.06 60677.85417
